Name,Line,Direction,Station from (A),From (RODS name),From (NLC),Station to (B),To (RODS name),To (NLC),Capacity,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Victoria Southbound: Euston to Warren Street,Victoria,Southbound,EUSTON,Euston,574,WARREN STREET,Warren Street,745,34920,0.76,1.30,1.50,1.50
Victoria Southbound: Warren Street to Oxford Circus,Victoria,Southbound,WARREN STREET,Warren Street,745,OXFORD CIRCUS,Oxford Circus,669,34920,0.90,1.72,2.44,2.00
Victoria Southbound: Oxford Circus to Green Park,Victoria,Southbound,OXFORD CIRCUS,Oxford Circus,669,GREEN PARK,Green Park,590,34920,1.14,1.78,2.00,2.04
Victoria Southbound: Green Park to Victoria,Victoria,Southbound,GREEN PARK,Green Park,590,VICTORIA,Victoria,741,34920,1.09,1.88,2.50,2.54
Victoria Southbound: Victoria to Pimlico,Victoria,Southbound,VICTORIA,Victoria,741,PIMLICO,Pimlico,776,34920,1.19,1.83,2.00,2.00
Victoria Southbound: Pimlico to Vauxhall,Victoria,Southbound,PIMLICO,Pimlico,776,VAUXHALL,Vauxhall,777,34920,0.80,1.40,1.50,1.54
Victoria Southbound: Vauxhall to Stockwell,Victoria,Southbound,VAUXHALL,Vauxhall,777,STOCKWELL,Stockwell,716,34920,1.77,2.30,2.94,2.52
Victoria Southbound: Stockwell to Brixton,Victoria,Southbound,STOCKWELL,Stockwell,716,BRIXTON,Brixton,778,34920,1.46,2.03,2.50,2.50
Victoria Northbound: Brixton to Stockwell,Victoria,Northbound,BRIXTON,Brixton,778,STOCKWELL,Stockwell,716,34920,1.46,2.18,2.45,2.00
Victoria Northbound: Stockwell to Vauxhall,Victoria,Northbound,STOCKWELL,Stockwell,716,VAUXHALL,Vauxhall,777,34920,1.77,2.23,2.50,2.50
Victoria Northbound: Vauxhall to Pimlico,Victoria,Northbound,VAUXHALL,Vauxhall,777,PIMLICO,Pimlico,776,34920,0.80,1.37,1.50,1.50
Victoria Northbound: Pimlico to Victoria,Victoria,Northbound,PIMLICO,Pimlico,776,VICTORIA,Victoria,741,34920,1.19,2.18,2.97,2.51
Victoria Northbound: Victoria to Green Park,Victoria,Northbound,VICTORIA,Victoria,741,GREEN PARK,Green Park,590,34920,1.09,1.95,2.00,2.00
Victoria Northbound: Green Park to Oxford Circus,Victoria,Northbound,GREEN PARK,Green Park,590,OXFORD CIRCUS,Oxford Circus,669,34920,1.14,1.97,2.47,2.02
Victoria Northbound: Oxford Circus to Warren Street,Victoria,Northbound,OXFORD CIRCUS,Oxford Circus,669,WARREN STREET,Warren Street,745,34920,0.90,1.53,2.48,2.04
Victoria Northbound: Warren Street to Euston,Victoria,Northbound,WARREN STREET,Warren Street,745,EUSTON,Euston,574,34920,0.76,1.32,1.50,1.50
Victoria Northbound: Euston to King's Cross St. Pancras,Victoria,Northbound,EUSTON,Euston,574,KINGS CROSS,King's Cross St. Pancras,625,34920,0.74,1.35,2.00,2.00
Victoria Northbound: King's Cross St. Pancras to Highbury & Islington,Victoria,Northbound,KINGS CROSS,King's Cross St. Pancras,625,HIGHBURY,Highbury & Islington,603,34920,2.45,2.87,3.00,3.00
Victoria Northbound: Highbury & Islington to Finsbury Park,Victoria,Northbound,HIGHBURY,Highbury & Islington,603,FINSBURY PARK,Finsbury Park,580,34920,1.93,2.40,2.97,2.56
Victoria Northbound: Finsbury Park to Seven Sisters,Victoria,Northbound,FINSBURY PARK,Finsbury Park,580,SEVEN SISTERS,Seven Sisters,698,34920,3.15,4.25,5.34,5.76
Victoria Northbound: Seven Sisters to Tottenham Hale,Victoria,Northbound,SEVEN SISTERS,Seven Sisters,698,TOTTENHAM HALE,Tottenham Hale,729,34920,1.05,1.60,1.50,1.50
Victoria Northbound: Tottenham Hale to Blackhorse Road,Victoria,Northbound,TOTTENHAM HALE,Tottenham Hale,729,BLACKHORSE ROAD,Blackhorse Road,522,34920,1.37,1.97,2.50,2.50
Victoria Northbound: Blackhorse Road to Walthamstow Central,Victoria,Northbound,BLACKHORSE ROAD,Blackhorse Road,522,WALTHAMSTOW,Walthamstow Central,742,34920,1.45,2.12,2.04,2.01
Waterloo & City Eastbound: Waterloo to Bank / Monument,Waterloo & City,Eastbound,WATERLOO,Waterloo,747,BANK,Bank / Monument,513,7344,2.37,4.87,4.00,4.00
Waterloo & City Westbound: Bank / Monument to Waterloo,Waterloo & City,Westbound,BANK,Bank / Monument,513,WATERLOO,Waterloo,747,7344,2.37,4.20,3.75,3.75
Jubilee  Eastbound: Stanmore to Canons Park,Jubilee ,Eastbound,STANMORE,Stanmore,714,CANONS PARK,Canons Park,537,16340,1.27,1.95,2.00,2.00
Jubilee  Eastbound: Canons Park to Queensbury,Jubilee ,Eastbound,CANONS PARK,Canons Park,537,QUEENSBURY,Queensbury,679,16340,1.71,1.93,2.50,2.50
Jubilee  Eastbound: Queensbury to Kingsbury,Jubilee ,Eastbound,QUEENSBURY,Queensbury,679,KINGSBURY,Kingsbury,624,16340,1.33,1.72,2.00,2.00
Jubilee  Eastbound: Kingsbury to Wembley Park,Jubilee ,Eastbound,KINGSBURY,Kingsbury,624,WEMBLEY PARK,Wembley Park,752,16340,2.85,3.47,4.73,4.56
Jubilee  Eastbound: Wembley Park to Neasden,Jubilee ,Eastbound,WEMBLEY PARK,Wembley Park,752,NEASDEN,Neasden,649,16340,2.28,2.60,3.03,3.01
Jubilee  Eastbound: Neasden to Dollis Hill,Jubilee ,Eastbound,NEASDEN,Neasden,649,DOLLIS HILL,Dollis Hill,558,16340,0.85,1.43,1.50,1.50
Jubilee  Eastbound: Dollis Hill to Willesden Green,Jubilee ,Eastbound,DOLLIS HILL,Dollis Hill,558,WILLESDEN GREEN,Willesden Green,765,16340,1.21,1.80,2.11,2.14
Jubilee  Eastbound: Willesden Green to Kilburn,Jubilee ,Eastbound,WILLESDEN GREEN,Willesden Green,765,KILBURN,Kilburn,622,16340,1.19,1.68,2.00,2.00
Jubilee  Eastbound: Kilburn to West Hampstead,Jubilee ,Eastbound,KILBURN,Kilburn,622,WEST HAMPSTEAD,West Hampstead,758,16340,1.09,1.63,2.50,2.00
Jubilee  Eastbound: West Hampstead to Finchley Road,Jubilee ,Eastbound,WEST HAMPSTEAD,West Hampstead,758,FINCHLEY ROAD,Finchley Road,579,16340,0.61,1.25,1.50,1.50
Jubilee  Eastbound: Finchley Road to Swiss Cottage,Jubilee ,Eastbound,FINCHLEY ROAD,Finchley Road,579,SWISS COTTAGE,Swiss Cottage,723,16340,0.61,1.18,1.50,1.50
Jubilee  Eastbound: Swiss Cottage to St. John's Wood,Jubilee ,Eastbound,SWISS COTTAGE,Swiss Cottage,723,ST JOHNS WOOD,St. John's Wood,696,16340,0.92,1.52,2.00,2.00
Jubilee  Eastbound: St. John's Wood to Baker Street,Jubilee ,Eastbound,ST JOHNS WOOD,St. John's Wood,696,BAKER STREET,Baker Street,511,16340,2.06,2.77,3.50,3.50
Jubilee  Eastbound: Baker Street to Bond Street,Jubilee ,Eastbound,BAKER STREET,Baker Street,511,BOND STREET,Bond Street,524,16340,1.66,2.10,2.50,2.50
Jubilee  Eastbound: Bond Street to Green Park,Jubilee ,Eastbound,BOND STREET,Bond Street,524,GREEN PARK,Green Park,590,16340,1.37,1.78,2.50,2.50
Jubilee  Eastbound: Green Park to Westminster,Jubilee ,Eastbound,GREEN PARK,Green Park,590,WESTMINSTER,Westminster,761,16340,1.34,1.87,2.50,2.50
Jubilee  Eastbound: Westminster to Waterloo,Jubilee ,Eastbound,WESTMINSTER,Westminster,761,WATERLOO,Waterloo,747,16340,0.96,1.38,2.00,2.00
Jubilee  Eastbound: Waterloo to Southwark,Jubilee ,Eastbound,WATERLOO,Waterloo,747,SOUTHWARK,Southwark,784,16340,0.44,1.02,1.00,1.00
Jubilee  Eastbound: Southwark to London Bridge,Jubilee ,Eastbound,SOUTHWARK,Southwark,784,LONDON BRIDGE,London Bridge,635,16340,1.26,1.65,2.50,2.50
Jubilee  Eastbound: London Bridge to Bermondsey,Jubilee ,Eastbound,LONDON BRIDGE,London Bridge,635,BERMONDSEY,Bermondsey,787,16340,1.93,2.25,2.50,2.50
Jubilee  Eastbound: Bermondsey to Canada Water,Jubilee ,Eastbound,BERMONDSEY,Bermondsey,787,CANADA WATER,Canada Water,788,16340,1.06,1.48,2.00,2.00
Jubilee  Eastbound: Canada Water to Canary Wharf,Jubilee ,Eastbound,CANADA WATER,Canada Water,788,CANARY WHARF,Canary Wharf,852,16340,2.41,2.50,3.00,3.02
Jubilee  Eastbound: Canary Wharf to North Greenwich,Jubilee ,Eastbound,CANARY WHARF,Canary Wharf,852,NORTH GREENWICH,North Greenwich,789,16340,1.71,2.23,3.19,3.49
Jubilee  Eastbound: North Greenwich to Canning Town,Jubilee ,Eastbound,NORTH GREENWICH,North Greenwich,789,CANNING TOWN,Canning Town,884,16340,1.71,2.15,2.50,2.50
Jubilee  Eastbound: Canning Town to West Ham,Jubilee ,Eastbound,CANNING TOWN,Canning Town,884,WEST HAM,West Ham,757,16340,1.58,2.15,2.93,2.58
Jubilee  Eastbound: West Ham to Stratford,Jubilee ,Eastbound,WEST HAM,West Ham,757,STRATFORD,Stratford,719,16340,1.54,3.15,4.90,3.77
Jubilee  Westbound: Stratford to West Ham,Jubilee ,Westbound,STRATFORD,Stratford,719,WEST HAM,West Ham,757,16340,1.54,2.42,3.50,3.12
Jubilee  Westbound: West Ham to Canning Town,Jubilee ,Westbound,WEST HAM,West Ham,757,CANNING TOWN,Canning Town,884,16340,1.58,2.13,2.50,2.50
Jubilee  Westbound: Canning Town to North Greenwich,Jubilee ,Westbound,CANNING TOWN,Canning Town,884,NORTH GREENWICH,North Greenwich,789,16340,1.71,2.17,3.07,2.99
Jubilee  Westbound: North Greenwich to Canary Wharf,Jubilee ,Westbound,NORTH GREENWICH,North Greenwich,789,CANARY WHARF,Canary Wharf,852,16340,1.71,1.98,2.55,2.50
Jubilee  Westbound: Canary Wharf to Canada Water,Jubilee ,Westbound,CANARY WHARF,Canary Wharf,852,CANADA WATER,Canada Water,788,16340,2.41,2.63,3.00,3.00
Jubilee  Westbound: Canada Water to Bermondsey,Jubilee ,Westbound,CANADA WATER,Canada Water,788,BERMONDSEY,Bermondsey,787,16340,1.06,1.52,2.00,2.00
Jubilee  Westbound: Bermondsey to London Bridge,Jubilee ,Westbound,BERMONDSEY,Bermondsey,787,LONDON BRIDGE,London Bridge,635,16340,1.93,2.17,2.50,2.50
Jubilee  Westbound: London Bridge to Southwark,Jubilee ,Westbound,LONDON BRIDGE,London Bridge,635,SOUTHWARK,Southwark,784,16340,1.26,1.77,2.00,2.00
Jubilee  Westbound: Southwark to Waterloo,Jubilee ,Westbound,SOUTHWARK,Southwark,784,WATERLOO,Waterloo,747,16340,0.44,0.97,1.50,1.50
Jubilee  Westbound: Waterloo to Westminster,Jubilee ,Westbound,WATERLOO,Waterloo,747,WESTMINSTER,Westminster,761,16340,0.96,1.43,2.44,2.01
Jubilee  Westbound: Westminster to Green Park,Jubilee ,Westbound,WESTMINSTER,Westminster,761,GREEN PARK,Green Park,590,16340,1.34,1.82,2.00,2.01
Jubilee  Westbound: Green Park to Bond Street,Jubilee ,Westbound,GREEN PARK,Green Park,590,BOND STREET,Bond Street,524,16340,1.37,1.82,2.50,2.50
Jubilee  Westbound: Bond Street to Baker Street,Jubilee ,Westbound,BOND STREET,Bond Street,524,BAKER STREET,Baker Street,511,16340,1.66,2.28,2.50,2.50
Jubilee  Westbound: Baker Street to St. John's Wood,Jubilee ,Westbound,BAKER STREET,Baker Street,511,ST JOHNS WOOD,St. John's Wood,696,16340,2.06,2.85,3.50,3.50
Jubilee  Westbound: St. John's Wood to Swiss Cottage,Jubilee ,Westbound,ST JOHNS WOOD,St. John's Wood,696,SWISS COTTAGE,Swiss Cottage,723,16340,0.92,1.52,1.50,1.50
Jubilee  Westbound: Swiss Cottage to Finchley Road,Jubilee ,Westbound,SWISS COTTAGE,Swiss Cottage,723,FINCHLEY ROAD,Finchley Road,579,16340,0.61,1.18,2.00,2.00
Jubilee  Westbound: Finchley Road to West Hampstead,Jubilee ,Westbound,FINCHLEY ROAD,Finchley Road,579,WEST HAMPSTEAD,West Hampstead,758,16340,0.61,1.20,1.50,1.51
Jubilee  Westbound: West Hampstead to Kilburn,Jubilee ,Westbound,WEST HAMPSTEAD,West Hampstead,758,KILBURN,Kilburn,622,16340,1.09,1.55,2.00,2.00
Jubilee  Westbound: Kilburn to Willesden Green,Jubilee ,Westbound,KILBURN,Kilburn,622,WILLESDEN GREEN,Willesden Green,765,16340,1.19,2.07,2.32,2.22
Jubilee  Westbound: Willesden Green to Dollis Hill,Jubilee ,Westbound,WILLESDEN GREEN,Willesden Green,765,DOLLIS HILL,Dollis Hill,558,16340,1.21,1.67,2.00,2.00
Jubilee  Westbound: Dollis Hill to Neasden,Jubilee ,Westbound,DOLLIS HILL,Dollis Hill,558,NEASDEN,Neasden,649,16340,0.85,1.38,1.62,1.50
Jubilee  Westbound: Neasden to Wembley Park,Jubilee ,Westbound,NEASDEN,Neasden,649,WEMBLEY PARK,Wembley Park,752,16340,2.28,2.65,3.76,3.53
Jubilee  Westbound: Wembley Park to Kingsbury,Jubilee ,Westbound,WEMBLEY PARK,Wembley Park,752,KINGSBURY,Kingsbury,624,16340,2.85,3.47,4.00,4.00
Jubilee  Westbound: Kingsbury to Queensbury,Jubilee ,Westbound,KINGSBURY,Kingsbury,624,QUEENSBURY,Queensbury,679,16340,1.33,1.85,2.00,2.00
Jubilee  Westbound: Queensbury to Canons Park,Jubilee ,Westbound,QUEENSBURY,Queensbury,679,CANONS PARK,Canons Park,537,16340,1.71,2.23,2.50,2.50
Jubilee  Westbound: Canons Park to Stanmore,Jubilee ,Westbound,CANONS PARK,Canons Park,537,STANMORE,Stanmore,714,16340,1.27,2.87,3.24,3.09
Northern  Southbound: Edgware to Burnt Oak,Northern ,Southbound,EDGWARE,Edgware,568,BURNT OAK,Burnt Oak,532,13300,1.47,2.43,2.50,2.50
Northern  Southbound: Burnt Oak to Colindale,Northern ,Southbound,BURNT OAK,Burnt Oak,532,COLINDALE,Colindale,551,13300,1.31,1.98,2.50,2.50
Northern  Southbound: Colindale to Hendon Central,Northern ,Southbound,COLINDALE,Colindale,551,HENDON CENTRAL,Hendon Central,601,13300,2.10,2.83,3.00,3.00
Northern  Southbound: Hendon Central to Brent Cross,Northern ,Southbound,HENDON CENTRAL,Hendon Central,601,BRENT CROSS,Brent Cross,529,13300,1.10,1.73,2.00,2.00
Northern  Southbound: Brent Cross to Golders Green,Northern ,Southbound,BRENT CROSS,Brent Cross,529,GOLDERS GREEN,Golders Green,584,13300,1.55,2.57,3.03,3.64
Northern  Southbound: Golders Green to Hampstead,Northern ,Southbound,GOLDERS GREEN,Golders Green,584,HAMPSTEAD,Hampstead,594,13300,2.34,3.42,3.50,3.50
Northern  Southbound: Hampstead to Belsize Park,Northern ,Southbound,HAMPSTEAD,Hampstead,594,BELSIZE PARK,Belsize Park,519,13300,1.20,1.82,2.00,2.00
Northern  Southbound: Belsize Park to Chalk Farm,Northern ,Southbound,BELSIZE PARK,Belsize Park,519,CHALK FARM,Chalk Farm,540,13300,1.10,1.77,2.00,2.00
Northern  Southbound: Chalk Farm to Camden Town,Northern ,Southbound,CHALK FARM,Chalk Farm,540,CAMDEN TOWN,Camden Town,535,13300,0.85,1.53,2.62,2.56
Northern  Southbound: High Barnet to Totteridge & Whetstone,Northern ,Southbound,HIGH BARNET,High Barnet,602,TOTTERIDGE & WHETSTONE,Totteridge & Whetstone,730,13300,2.46,3.67,3.50,3.50
Northern  Southbound: Totteridge & Whetstone to Woodside Park,Northern ,Southbound,TOTTERIDGE & WHETSTONE,Totteridge & Whetstone,730,WOODSIDE PARK,Woodside Park,771,13300,1.50,2.23,2.50,2.50
Northern  Southbound: Woodside Park to West Finchley,Northern ,Southbound,WOODSIDE PARK,Woodside Park,771,WEST FINCHLEY,West Finchley,756,13300,0.98,1.70,1.50,1.50
Northern  Southbound: West Finchley to Finchley Central,Northern ,Southbound,WEST FINCHLEY,West Finchley,756,FINCHLEY CENTRAL,Finchley Central,578,13300,1.14,2.08,3.13,2.51
Northern  Southbound: Mill Hill East to Finchley Central,Northern ,Southbound,MILL HILL EAST,Mill Hill East,643,FINCHLEY CENTRAL,Finchley Central,578,13300,1.52,2.75,3.27,3.00
Northern  Southbound: Finchley Central to East Finchley,Northern ,Southbound,FINCHLEY CENTRAL,Finchley Central,578,EAST FINCHLEY,East Finchley,565,13300,2.42,3.37,3.50,3.50
Northern  Southbound: East Finchley to Highgate,Northern ,Southbound,EAST FINCHLEY,East Finchley,565,HIGHGATE,Highgate,604,13300,1.63,3.00,3.00,3.00
Northern  Southbound: Highgate to Archway,Northern ,Southbound,HIGHGATE,Highgate,604,ARCHWAY,Archway,508,13300,1.70,2.80,3.00,3.00
Northern  Southbound: Archway to Tufnell Park,Northern ,Southbound,ARCHWAY,Archway,508,TUFNELL PARK,Tufnell Park,733,13300,0.88,1.60,1.50,1.50
Northern  Southbound: Tufnell Park to Kentish Town,Northern ,Southbound,TUFNELL PARK,Tufnell Park,733,KENTISH TOWN,Kentish Town,619,13300,0.80,1.42,1.50,1.50
Northern  Southbound: Kentish Town to Camden Town,Northern ,Southbound,KENTISH TOWN,Kentish Town,619,CAMDEN TOWN,Camden Town,535,13300,1.15,1.93,3.08,3.08
Northern  Southbound: Camden Town to Mornington Crescent,Northern ,Southbound,CAMDEN TOWN,Camden Town,535,MORNINGTON CRESCENT,Mornington Crescent,648,13300,0.64,1.63,1.50,1.50
Northern  Southbound: Mornington Crescent to Euston,Northern ,Southbound,MORNINGTON CRESCENT,Mornington Crescent,648,EUSTON (CX),Euston,574,13300,0.82,1.52,2.00,2.00
Northern  Southbound: Euston to Warren Street,Northern ,Southbound,EUSTON (CX),Euston,574,WARREN STREET,Warren Street,745,13300,0.58,1.18,1.50,1.50
Northern  Southbound: Warren Street to Goodge Street,Northern ,Southbound,WARREN STREET,Warren Street,745,GOODGE STREET,Goodge Street,586,13300,0.46,1.07,1.50,1.50
Northern  Southbound: Goodge Street to Tottenham Court Road,Northern ,Southbound,GOODGE STREET,Goodge Street,586,TOTTENHAM COURT ROAD,Tottenham Court Road,728,13300,0.62,1.32,1.73,1.50
Northern  Southbound: Tottenham Court Road to Leicester Square,Northern ,Southbound,TOTTENHAM COURT ROAD,Tottenham Court Road,728,LEICESTER SQUARE,Leicester Square,631,13300,0.40,0.98,1.00,1.00
Northern  Southbound: Leicester Square to Charing Cross,Northern ,Southbound,LEICESTER SQUARE,Leicester Square,631,CHARING CROSS,Charing Cross,718,13300,0.46,1.20,1.99,1.50
Northern  Southbound: Charing Cross to Embankment,Northern ,Southbound,CHARING CROSS,Charing Cross,718,EMBANKMENT,Embankment,542,13300,0.27,0.80,1.00,1.00
Northern  Southbound: Embankment to Waterloo,Northern ,Southbound,EMBANKMENT,Embankment,542,WATERLOO,Waterloo,747,13300,0.70,1.37,1.50,1.50
Northern  Southbound: Waterloo to Kennington,Northern ,Southbound,WATERLOO,Waterloo,747,KENNINGTON (CX),Kennington,616,13300,1.89,2.97,3.96,3.40
Northern  Southbound: Camden Town to Euston,Northern ,Southbound,CAMDEN TOWN,Camden Town,535,EUSTON (CITY),Euston,574,13300,1.71,2.95,3.50,3.55
Northern  Southbound: Euston to King's Cross St. Pancras,Northern ,Southbound,EUSTON (CITY),Euston,574,KINGS CROSS,King's Cross St. Pancras,625,13300,0.61,1.53,1.50,1.50
Northern  Southbound: King's Cross St. Pancras to Angel,Northern ,Southbound,KINGS CROSS,King's Cross St. Pancras,625,ANGEL,Angel,507,13300,1.38,2.18,2.50,2.50
Northern  Southbound: Angel to Old Street,Northern ,Southbound,ANGEL,Angel,507,OLD STREET,Old Street,665,13300,1.44,2.87,3.00,3.00
Northern  Southbound: Old Street to Moorgate,Northern ,Southbound,OLD STREET,Old Street,665,MOORGATE,Moorgate,645,13300,0.69,1.37,2.00,1.51
Northern  Southbound: Moorgate to Bank / Monument,Northern ,Southbound,MOORGATE,Moorgate,645,BANK,Bank / Monument,513,13300,0.82,1.90,2.00,2.00
Northern  Southbound: Bank / Monument to London Bridge,Northern ,Southbound,BANK,Bank / Monument,513,LONDON BRIDGE,London Bridge,635,13300,0.69,1.55,2.25,2.00
Northern  Southbound: London Bridge to Borough,Northern ,Southbound,LONDON BRIDGE,London Bridge,635,BOROUGH,Borough,525,13300,0.67,1.45,1.50,1.50
Northern  Southbound: Borough to Elephant & Castle,Northern ,Southbound,BOROUGH,Borough,525,ELEPHANT & CASTLE,Elephant & Castle,570,13300,0.85,1.72,2.00,2.00
Northern  Southbound: Elephant & Castle to Kennington,Northern ,Southbound,ELEPHANT & CASTLE,Elephant & Castle,570,KENNINGTON (CITY),Kennington,616,13300,0.90,2.03,3.00,3.47
Northern  Southbound: Kennington to Oval,Northern ,Southbound,KENNINGTON,Kennington,616,OVAL,Oval,668,13300,0.82,1.58,2.00,2.00
Northern  Southbound: Oval to Stockwell,Northern ,Southbound,OVAL,Oval,668,STOCKWELL,Stockwell,716,13300,1.36,2.20,2.50,2.50
Northern  Southbound: Stockwell to Clapham North,Northern ,Southbound,STOCKWELL,Stockwell,716,CLAPHAM NORTH,Clapham North,548,13300,0.82,1.55,1.50,1.50
Northern  Southbound: Clapham North to Clapham Common,Northern ,Southbound,CLAPHAM NORTH,Clapham North,548,CLAPHAM COMMON,Clapham Common,547,13300,0.62,1.40,1.50,1.50
Northern  Southbound: Clapham Common to Clapham South,Northern ,Southbound,CLAPHAM COMMON,Clapham Common,547,CLAPHAM SOUTH,Clapham South,549,13300,1.25,2.00,2.50,2.50
Northern  Southbound: Clapham South to Balham,Northern ,Southbound,CLAPHAM SOUTH,Clapham South,549,BALHAM,Balham,512,13300,1.15,1.88,2.00,2.00
Northern  Southbound: Balham to Tooting Bec,Northern ,Southbound,BALHAM,Balham,512,TOOTING BEC,Tooting Bec,726,13300,0.98,1.67,2.00,2.00
Northern  Southbound: Tooting Bec to Tooting Broadway,Northern ,Southbound,TOOTING BEC,Tooting Bec,726,TOOTING BROADWAY,Tooting Broadway,727,13300,1.10,1.77,2.00,2.00
Northern  Southbound: Tooting Broadway to Colliers Wood,Northern ,Southbound,TOOTING BROADWAY,Tooting Broadway,727,COLLIERS WOOD,Colliers Wood,552,13300,1.20,1.98,2.00,2.00
Northern  Southbound: Colliers Wood to South Wimbledon,Northern ,Southbound,COLLIERS WOOD,Colliers Wood,552,SOUTH WIMBLEDON,South Wimbledon,711,13300,1.14,1.88,2.00,2.00
Northern  Southbound: South Wimbledon to Morden,Northern ,Southbound,SOUTH WIMBLEDON,South Wimbledon,711,MORDEN,Morden,647,13300,1.46,2.95,3.55,3.56
Northern  Northbound: Morden to South Wimbledon,Northern ,Northbound,MORDEN,Morden,647,SOUTH WIMBLEDON,South Wimbledon,711,13300,1.46,2.35,2.50,2.50
Northern  Northbound: South Wimbledon to Colliers Wood,Northern ,Northbound,SOUTH WIMBLEDON,South Wimbledon,711,COLLIERS WOOD,Colliers Wood,552,13300,1.14,1.85,2.00,2.00
Northern  Northbound: Colliers Wood to Tooting Broadway,Northern ,Northbound,COLLIERS WOOD,Colliers Wood,552,TOOTING BROADWAY,Tooting Broadway,727,13300,1.20,1.97,2.00,2.00
Northern  Northbound: Tooting Broadway to Tooting Bec,Northern ,Northbound,TOOTING BROADWAY,Tooting Broadway,727,TOOTING BEC,Tooting Bec,726,13300,1.10,1.88,2.00,2.00
Northern  Northbound: Tooting Bec to Balham,Northern ,Northbound,TOOTING BEC,Tooting Bec,726,BALHAM,Balham,512,13300,0.98,1.65,2.00,2.00
Northern  Northbound: Balham to Clapham South,Northern ,Northbound,BALHAM,Balham,512,CLAPHAM SOUTH,Clapham South,549,13300,1.15,1.80,2.00,2.00
Northern  Northbound: Clapham South to Clapham Common,Northern ,Northbound,CLAPHAM SOUTH,Clapham South,549,CLAPHAM COMMON,Clapham Common,547,13300,1.25,2.20,2.50,2.50
Northern  Northbound: Clapham Common to Clapham North,Northern ,Northbound,CLAPHAM COMMON,Clapham Common,547,CLAPHAM NORTH,Clapham North,548,13300,0.62,1.32,1.76,1.50
Northern  Northbound: Clapham North to Stockwell,Northern ,Northbound,CLAPHAM NORTH,Clapham North,548,STOCKWELL,Stockwell,716,13300,0.82,1.72,2.49,2.00
Northern  Northbound: Stockwell to Oval,Northern ,Northbound,STOCKWELL,Stockwell,716,OVAL,Oval,668,13300,1.36,2.03,2.50,2.50
Northern  Northbound: Oval to Kennington,Northern ,Northbound,OVAL,Oval,668,KENNINGTON (CITY),Kennington,616,13300,0.82,1.70,2.81,2.91
Northern  Northbound: Kennington to Elephant & Castle,Northern ,Northbound,KENNINGTON (CITY),Kennington,616,ELEPHANT & CASTLE,Elephant & Castle,570,13300,0.90,1.80,2.00,2.00
Northern  Northbound: Elephant & Castle to Borough,Northern ,Northbound,ELEPHANT & CASTLE,Elephant & Castle,570,BOROUGH,Borough,525,13300,0.85,1.75,2.00,2.00
Northern  Northbound: Borough to London Bridge,Northern ,Northbound,BOROUGH,Borough,525,LONDON BRIDGE,London Bridge,635,13300,0.67,1.40,1.50,1.50
Northern  Northbound: London Bridge to Bank / Monument,Northern ,Northbound,LONDON BRIDGE,London Bridge,635,BANK,Bank / Monument,513,13300,0.69,1.53,2.34,2.00
Northern  Northbound: Bank / Monument to Moorgate,Northern ,Northbound,BANK,Bank / Monument,513,MOORGATE,Moorgate,645,13300,0.82,1.77,2.50,2.01
Northern  Northbound: Moorgate to Old Street,Northern ,Northbound,MOORGATE,Moorgate,645,OLD STREET,Old Street,665,13300,0.69,1.45,1.50,1.50
Northern  Northbound: Old Street to Angel,Northern ,Northbound,OLD STREET,Old Street,665,ANGEL,Angel,507,13300,1.44,2.43,2.50,2.50
Northern  Northbound: Angel to King's Cross St. Pancras,Northern ,Northbound,ANGEL,Angel,507,KINGS CROSS,King's Cross St. Pancras,625,13300,1.38,2.15,2.50,2.50
Northern  Northbound: King's Cross St. Pancras to Euston,Northern ,Northbound,KINGS CROSS,King's Cross St. Pancras,625,EUSTON (CITY),Euston,574,13300,0.61,1.33,1.68,1.52
Northern  Northbound: Euston to Camden Town,Northern ,Northbound,EUSTON (CITY),Euston,574,CAMDEN TOWN,Camden Town,535,13300,1.71,3.88,4.42,4.02
Northern  Northbound: Kennington to Waterloo,Northern ,Northbound,KENNINGTON (CX),Kennington,616,WATERLOO,Waterloo,747,13300,1.89,2.77,3.00,3.00
Northern  Northbound: Waterloo to Embankment,Northern ,Northbound,WATERLOO,Waterloo,747,EMBANKMENT,Embankment,542,13300,0.70,1.40,2.00,2.00
Northern  Northbound: Embankment to Charing Cross,Northern ,Northbound,EMBANKMENT,Embankment,542,CHARING CROSS,Charing Cross,718,13300,0.27,0.87,1.26,1.00
Northern  Northbound: Charing Cross to Leicester Square,Northern ,Northbound,CHARING CROSS,Charing Cross,718,LEICESTER SQUARE,Leicester Square,631,13300,0.46,1.17,1.50,1.50
Northern  Northbound: Leicester Square to Tottenham Court Road,Northern ,Northbound,LEICESTER SQUARE,Leicester Square,631,TOTTENHAM COURT ROAD,Tottenham Court Road,728,13300,0.40,1.03,1.50,1.50
Northern  Northbound: Tottenham Court Road to Goodge Street,Northern ,Northbound,TOTTENHAM COURT ROAD,Tottenham Court Road,728,GOODGE STREET,Goodge Street,586,13300,0.62,1.28,1.50,1.50
Northern  Northbound: Goodge Street to Warren Street,Northern ,Northbound,GOODGE STREET,Goodge Street,586,WARREN STREET,Warren Street,745,13300,0.46,1.07,1.50,1.50
